Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Luxembourg,LUX,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,101.2907,101.0225,100.3607,102.7363,102.7084,102.3194,103.6652,103.6551,..
"Macao SAR, China",MAC,"School enrollment, secondary (% gross)",SE.SEC.ENRR,84.64005,87.78393,91.32931,92.06546,92.37997,93.20733,94.53906,98.55654,99.99272,101.0366
Madagascar,MDG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,30.65084,..,36.74788,38.11174,..,38.35387,38.51202,38.31159,36.90052,36.52693
Malawi,MWI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,32.72995,33.98077,35.08737,35.31964,38.43733,40.21174,40.77254,39.17525,39.89203,40.28176
Malaysia,MYS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,76.12432,77.26703,77.47146,81.47546,81.87223,85.35154,84.93446,84.70847,85.44908,81.99226
Maldives,MDV,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Mali,MLI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,36.67199,39.2861,41.23256,..,41.81767,44.01817,41.72014,42.99298,41.52314,41.02728
Malta,MLT,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,104.2411,93.30612,94.04103,94.07425,94.43334,94.90859,95.80822,..,..
Marshall Islands,MHL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,77.40933,..,..,..,..,..,66.36651,64.44054,..,..
Mauritania,MRT,"School enrollment, secondary (% gross)",SE.SEC.ENRR,20.48881,20.75177,22.90338,27.26383,30.10104,30.7141,31.41935,32.67719,32.56554,36.83391
Mauritius,MUS,"School enrollment, secondary (% gross)",SE.SEC.ENRR,88.79872,89.24696,90.92369,92.98871,96.03815,99.90385,97.36967,97.5403,95.72241,95.0962
"Micronesia, Fed. Sts.",FSM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Moldova,MDA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,88.59664,87.98113,87.71937,88.19587,88.33605,87.32076,86.10812,85.60781,86.83374,86.90614
Monaco,MCO,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,97.61665,91.51935,..,..,..,..,..,..,..,..
Montenegro,MNE,"School enrollment, secondary (% gross)",SE.SEC.ENRR,97.51123,100.3546,93.38107,93.13046,..,..,92.69518,90.54211,89.9216,..
Morocco,MAR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,60.969,63.29083,66.51797,69.74757,..,..,..,..,79.86487,80.2262
Mozambique,MOZ,"School enrollment, secondary (% gross)",SE.SEC.ENRR,23.24377,25.22641,25.99673,25.50679,34.0909,33.379,33.56939,..,35.40672,..
Myanmar,MMR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,47.93277,48.13747,..,..,..,51.78527,..,60.31562,64.28116,..
Namibia,NAM,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Nauru,NRU,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,76.64234,..,84.60905,..,82.73561,..,..
Nepal,NPL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,51.79061,57.63132,60.26435,63.7488,65.35344,66.87903,67.84369,70.77675,74.07729,..
New Caledonia,NCL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,124.66021,119.0647,118.5048,117.1061,115.2617,115.3846,114.7461,114.3597,114.59,..
Nicaragua,NIC,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,73.43242,..,..,..,..,..,..,..,..
Niger,NER,"School enrollment, secondary (% gross)",SE.SEC.ENRR,11.43199,13.04247,13.88327,15.05934,16.25382,18.20436,20.09322,23.12497,24.25375,..
Nigeria,NGA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,39.2328,44.21823,45.55653,47.18077,56.2054,45.62404,46.782,42.00254,..,..
North Macedonia,MKD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,81.01089,82.19671,..,82.39088,80.94807,80.56839,81.89322,..,..,..
Northern Mariana Islands,MNP,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..
Norway,NOR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,111.31356,112.6066,112.1876,110.5704,113.1849,112.7667,114.646,116.228,116.8744,..
Oman,OMN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,99.77667,..,99.58555,100.0397,99.5157,..,103.2984,107.5827,105.7908,106.666
Pakistan,PAK,"School enrollment, secondary (% gross)",SE.SEC.ENRR,32.85656,33.17973,33.76794,34.9049,36.00167,37.32049,39.60365,40.95977,40.40159,42.78196
Palau,PLW,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,115.7895,116.4851,..,..,..,..
Panama,PAN,"School enrollment, secondary (% gross)",SE.SEC.ENRR,69.99185,71.30345,70.87501,..,75.32994,75.07705,75.83184,81.93289,76.13718,..
Papua New Guinea,PNG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,38.66995,..,..,..,47.49616,..,..
Paraguay,PRY,"School enrollment, secondary (% gross)",SE.SEC.ENRR,66.78545,67.67794,69.76887,75.91105,..,..,..,..,..,..
Peru,PER,"School enrollment, secondary (% gross)",SE.SEC.ENRR,90.835,92.27526,93.89932,93.17268,98.54976,97.02095,97.59813,101.9629,104.6938,106.4454
Philippines,PHL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,84.11603,..,..,..,..,86.96586,87.85106,88.45581,86.16291,..
Poland,POL,"School enrollment, secondary (% gross)",SE.SEC.ENRR,96.24036,95.94371,95.89886,96.21341,107.351,106.9047,107.7431,108.6043,109.9336,..
Portugal,PRT,"School enrollment, secondary (% gross)",SE.SEC.ENRR,105.90389,106.7521,106.5856,108.7159,119.4554,116.0811,118.7692,118.0248,119.9132,..
Puerto Rico,PRI,"School enrollment, secondary (% gross)",SE.SEC.ENRR,88.15991,85.8834,81.22175,83.77826,86.50029,87.88003,94.49712,81.87628,..,..
Qatar,QAT,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,105.4658,..,..,..,..,..,..,..,..
Romania,ROU,"School enrollment, secondary (% gross)",SE.SEC.ENRR,95.29491,97.66126,98.26016,97.51628,96.64545,94.41653,92.92757,91.14482,..,..
Rwanda,RWA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,26.14972,31.61764,35.58722,38.30798,40.71788,40.09128,37.85201,37.27189,38.88265,40.89606
